identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0006400440;GUY DAUPHIN ENVIRONNEMENT SA;65382053000513;261 Route de Camsaud;84700;SORGUES;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;850083.000000;6327635.000000;2154;3832Z;Récupération de déchets triés;;
0005202241;ATEMAX FRANCE;50160475500113;lieu-dit Monbusq;47520;LE PASSAGE;LOT-ET-GARONNE;NOUVELLE-AQUITAINE;508205.000000;6348929.000000;2154;3832Z;Récupération de déchets triés;5.(e);Installations destinées à l'élimination ou à la valorisation de carcasses et de déchets d'animaux d'une capacité de traitement de 10 tonnes par jour
0006302484;MAINE RECUPER SARL;80156521900012;7 RUE DE L'ARTISANAT CHEMILLE EN ANJOU;49120;SAINT-GEORGES-DES-GARDES;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;414914.000000;6678417.000000;2154;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;;
0009000055;SNOI- Parc 1 de Châlons;57208621300871;La Croix Gélique;51400;DAMPIERRE-AU-TEMPLE;MARNE;GRAND-EST;4.378100;49.025314;4326;4950Z;Transports par conduites;;
0006101417;LAFARGEHOLCIM GRANULATS;56211088201781;LA PATTE;69930;SAINT-LAURENT-DE-CHAMOUSSET;RHONE;AUVERGNE-RHONE-ALPES;816790.000000;6516233.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0006101466;CARRIERES DE SAINT LAURENT;37841602800074;La petite Craz, CD 147;69720;SAINT-LAURENT-DE-MURE;RHONE;AUVERGNE-RHONE-ALPES;857814.000000;6510635.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0006103062;AHLSTROM-MUNKSJO LA GERE;80486291000010;Rue Francisque Cartallier;38780;PONT-EVEQUE;ISERE;AUVERGNE-RHONE-ALPES;849151.000000;6493665.000000;2154;7010Z;Activités des sièges sociaux;6.(b);Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour
0006515548;FM FRANCE SAS;36780140400040;Route départementale 619, Lieu-dit « la Justice »;77720;MORMANT;SEINE-ET-MARNE;ILE-DE-FRANCE;691140.000000;6834906.000000;2154;4941A;Transports routiers de fret interurbains;;
0006201550;GUY DAUPHIN ENVIRONNEMENT;64722056500020;ZAC de la Petite Voevre, 5, rue de la Mouée;57000;METZ;MOSELLE;GRAND-EST;936932.000000;6894547.000000;2154;3832Z;Récupération de déchets triés;;
0006112084;NOVACYL;53321377300047;Rue Gaston Monmousseau, Plateforme chimique de Roussillon;38150;SALAISE-SUR-SANNE;ISERE;AUVERGNE-RHONE-ALPES;840676.000000;6474509.000000;2154;2110Z;Fabrication de produits pharmaceutiques de base;;
