identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006102993;ARKEMA;2021;24535596;0;152966;0
0005201764;CHEMVIRON;2021;541303;0;4289;0
0022200048;SNEMBG;2021;0;0;90421;0
0052204245;EARL LE PAGE;2021;9700;0;0;0
0009073403;STEP - MAERA;2021;0;93078;7221;0
0055601718;CAPITAINE HOUAT;2021;0;0;172989;0
0010000743;SMLF;2021;11779;0;249;0
0007000955;ARCELORMITTAL  ATLANTIQUE et LORRAINE;2021;0;580452;50609;0
0005201616;SOLEAL SAS;2021;355587;0;10074;0
0052904150;EARL DU COSQUER;2021;13700;0;0;0
0006400686;SEM;2021;0;12927309;0;0
0006208315;GRANULATS VICAT MONCEL;2021;0;332793;0;0
0006401313;MIDI CONCASSAGE;2021;101784;0;0;0
0006802150;ANDROS Snc - Site de Biars;2021;670659;0;2311;0
0006600448;CIMENTS CALCIA;2021;50392;0;10308;0
0005600467;Société des Eaux de VOLVIC;2021;2321334;0;40079;0
0005801516;LEGRAND NORMANDIE;2021;90258;0;0;0
0005501218;PDM INDUSTRIES;2021;0;3958181;899;0
0055603715;EARL MONPAS;2021;11225;0;0;0
0005800620;SAFRAN AEROSYSTEMS;2021;70111;0;3565;0
0006401052;ARCELORMITTAL Méditerranée;2021;0;0;17093000;0
0005800459;BUTAGAZ TRANSITION SAS;2021;0;24068;0;0
0006302409;LES OEUFS GESLIN;2021;0;0;76227;0
0006802453;VILLEROY ET BOCH SAS;2021;145136;0;0;0
0006202229;PAPETERIES DE CLAIREFONTAINE;2021;0;1983228;12176;0
0007000830;Peugeot Citroën Mécanique du Nord Ouest SNC;2021;0;0;85826;0
0006804278;SIVOM SAGe (ex SIVOM de la Saudrune);2021;13633;0;0;0
0005301290;COMPAGNIE DES FROMAGES & RICHESMONTS;2021;0;0;536066;0
0007000620;VYNOVA MAZINGARBE  SAS;2021;1358204;0;0;0
0006103721;Polytechnyl;2021;1361687;0;0;0
0006209733;EQIOM BETONS;2021;0;15023;0;0
0006310458;SAS POULTRY FEED COMPANY (PFC);2021;0;0;81900;0
0006301359;SOCIÉTÉ INDUSTRIELLE DE SAINT FLORENT;2021;0;161586;210271;0
0005800392;DANONE PRODUITS FRAIS FRANCE;2021;0;0;728278;0
0006506261;COCA COLA EUROPEAN PARTNERS FRANCE;2021;0;0;168474;0
0005501795;UFM - UNION FERMIERE MORBIHANNAISE SAS;2021;400;0;383127;0
0007000482;CANDIA;2021;411590;0;98494;0
0010300099;SOLE MIO;2021;9810;0;13069;0
0005704056;CARRIERES ST CHRISTOPHE;2021;61001;0;0;0
0006104028;CHROMALPES;2021;18884;0;2975;0
0006700570;RAVAGO Building Solutions France;2021;0;0;101193;0
0006400685;SEM;2021;0;43294288;0;0
0006400486;NATUREX;2021;9086;0;65287;0
0006103633;JTEKT AUTOMOTIVE LYON;2021;961810;0;14207;0
0051500300;LES FROMAGERIES OCCITANES LANOBRE;2021;0;0;65076;0
0006400411;RAYNAL et ROQUELAURE Provence;2021;400285;0;0;0
0006702247;DAIICHI SANKYO ALTKIRCH SARL;2021;0;0;85343;0
0057200464;VALLEGRAIN ABATTOIR;2021;19853;100248;0;0
0005201506;Usine DRT Castets;2021;0;0;173894;0
0005600245;FAREVA LA VALLEE;2021;0;0;107702;0
0006700171;GRAVIERE DE STATTMATTEN;2021;922085;0;0;0
0006800581;CEMEX GRANULATS SUD OUEST;2021;214380;0;0;0
0052300038;SAS LES MONTAGNES D'AUZANCES;2021;0;0;68929;0
0054901700;GRIMAUD FRERES SELECTION (SAS) - HYPHARM;2021;16750;0;7307;0
0010004219;PROCTER ET GAMBLE BLOIS;2021;0;0;266984;0
0054200292;NIGAY S.A.;2021;28394;0;86564;0
0052902057;SCEA PHILIPPE GALLOU;2021;15998;0;0;0
