identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0006112235;EXSTO SAS;2021;800;
0006001927;EYREIN Industrie;2021;0;1742
0006103464;STEM;2021;18232;
0006103223;GRENOBLE-ALPES METROPOLE;2021;45183;
0006204953;ELIS LORRAINE/PIERRETTE TBA;2021;97847;
0005301073;TRANSPORTS MERTZ;2021;8692;
0007000829;FRANCAISE DE MECANIQUE;2021;84423;
0009000279;CENZUB-94°RI;2021;21298;
0006500055;CORNING SAS;2021;2892;6132
0006400537;LOUIS MARTIN PRODUCTION;2021;48758;
0006105179;SUEZ ORGANIQUE (ex Terralys/ex Agro Dév);2021;;150
0006112084;NOVACYL;2021;28296;1551487
0006114447;SANOFI CHIMIE REMEDIATION;2021;;552015
0006301011;FROMAGERE DE BOUVRON (société);2021;;676175
0006501584;THIMEAU MAGIC RAMBO-ELIS;2021;63401;
0006200776;ARCELORMITTAL CF;2021;;28007
0054201058;ROCHEBILLARD ET BLEIN;2021;8790;
0005800349;ESSO RAFFINAGE;2021;;11165413
0006404923;Air Liquide France Industrie;2021;;17017
0006000414;ALLARD EMBALLAGES;2021;15624;
0010013144;MONIN Georges SAS;2021;38677;
0005101694;VERESCENCE;2021;4771;
0007002443;YKK FRANCE;2021;10048;
0006101364;IMERYS TC;2021;;107853
0007004217;JEUMONT ELECTRIC - Groupe ALTAWEST;2021;;65383
0005302775;GILLOT SAS;2021;181859;
0005600458;SAPEC 2;2021;;21763
0052900036;JEAN PIERRE TALLEC L'HERITAGE DU GOUT;2021;30725;
0006102636;PAPETERIES DE MONTSEGUR;2021;;75964
0005500440;IDEX ENVIRONNEMENT BRETAGNE( SARL);2021;42142;
0006200909;AHLSTROM-MUNKSJÖ STENAY SAS;2021;;2106772
0005201375;O-I France SAS;2021;;29356
0052700280;SOCOPA VIANDES;2021;;82238
0007005301;FIELDTURF TARKETT SAS;2021;137;
0006400069;STMICROELECTRONICS SAS;2021;1342814;
0010000942;BRANDT France;2021;9354;
0007202099;REVICO;2021;;651489
0007002140;RECYCLAGE DES VALLEES;2021;2641;29387
0006400737;MAJ ELIS PROVENCE;2021;53450;
0040000290;Centrale thermique EDF de Saint-Pierre;2021;0;0
0006102245;TORAY FILMS EUROPE SAS;2021;;1452363
0009076602;STEP - PERPIGNAN;2021;11517310;
0007001174;GRAIN D'OR GEL - GRAIN D'OR FRAIS;2021;4507;
0005600040;SAFRAN ELECTRONICS & DEFENSE;2021;;48960
0005401906;RTP FRANCE;2021;5129;
0005800375;ASHLAND SPECIALTIES France;2021;;201788
0005704369;ETABLISSEMENTS BLANDIN SA;2021;;80427
0052903492;GROUPE BIGARD;2021;;773642
0006102997;FERROPEM;2021;28074;619482
0006802706;PSI (PYRENEES SERVICE INDUSTRIE);2021;26152;
0006207145;ARKEMA FRANCE;2021;;3679614
0007203926;CALCIA Ciments Usine;2021;;1865
0010200069;STE CHLORALP;2021;;0
0005600463;EUROAPI;2021;;1574354
0005504149;Mc BRIDE;2021;2952;
0006301173;TROUILLET 85 SAS;2021;32;0
0005300048;PIGEON GRANULATS NORMANDIE;2021;;1
0050100526;MIERAL SARL;2021;5473;
0006307154;AGRIMAINE METHANISATION (CB);2021;;825
0005200859;SOVAL;2021;0;20426
0005300069;CARRIERES DE VIGNATS;2021;;2377700
0006103636;BAYER SAS;2021;4582;178057
0006401094;LAVAU MOURET SA;2021;;0
0005801044;DS SMITH;2021;;5084661
0005300573;MAISON JOHANES BOUBEE-PRODIS (rte Tilly);2021;56533;
0006806074;GUIMA PALFINGER;2021;2859;
0005205111;SETHELEC SNC;2021;;1002
0007003379;SARBEC;2021;52184;
0005500732;FRANPAC;2021;1517;
0005101507;SYNTHOS ( ex INEOS STYRENICS);2021;;2680
0007201327;RIBOULEAU  MONOSEM;2021;874;
0006107952;PODIS;2021;8149;
0010008300;CPCE-NOTILIA;2021;2115;
0010100165;EUROCAST REYRIEUX;2021;4514;
0006502168;OFFREDY  (BEAUDELET);2021;6882;0
0006600228;SARL DOMITIA GRANULATS;2021;;0
0006301613;FLEURY MICHON LS;2021;;160057
0005500398;LE JOINT FRANCAIS;2021;20500;
0006802901;COCA-COLA EUROPACIFIC PARTNERS FRANCE;2021;36962;
0007207175;SYNDICAT DES EAUX;2021;;124540
0006202114;UNION LAITIERE VITTELOISE;2021;;622327
0006803603;FERINOX;2021;1097;
0009073304;STEP - Louis Fargue (Bordeaux);2021;;48959418
0007100081;Distillerie Savanna;2021;;84387
0009074404;Station d'épuration des Ecossièrnes;2021;;4094955
0006105221;OSIRIS GIE;2021;;35566055
0006303220;HOWMET CIRAL ARCONIC;2021;6779;
0057201665;CHARAL;2021;;337324
0006400001;ALTEO GARDANNE;2021;;2002174
0053100020;SOLEVAL FRANCE;2021;6657;
0006200720;KIMBERLY CLARK SAS;2021;;968547
0005300074;SOCIETE DES CARRIERES DE VIGNATS;2021;;659490
0005701122;CANELIA;2021;;486543
0006400029;XPO TANK CLEANING SUD FR;2021;15107;
0006102733;KALISTRUT AEROSPACE;2021;184352;
0006401133;ABC INDUSTRIE;2021;;98249
0006700429;DSM Nutritional Products France;2021;18827;475411
0006103146;AD PLATING;2021;14386;
0005800360;DRPC;2021;;58400
0006505098;ARIANEGROUP (ex HERAKLES);2021;;58003
0010000642;CCMP;2021;918;
0009000208;ONERA;2021;;5051000
0006511727;CEA;2021;;1194134
0006603886;SA SAVONNERIE DE NIMES;2021;892;
0005520899;AGRO OUEST ENVIRONNEMENT;2021;;128534
0005100494;NOVABION;2021;;57469
0006400004;CEA CADARACHE;2021;;112563
0006802374;CSI SUD OUEST;2021;297;6446
0006301145;PHYTEUROP;2021;1889;
0010001192;SAVANE BROSSARD SA;2021;27939;
0006804264;SOVAL;2021;;34563
0005502423;RAULT CARRIERES SA;2021;0;0
0005503174;IMERYS CERAMICS FRANCE;2021;;0
0005800821;STEINER;2021;;28045
0005101637;OLEON (ex NOVANCE);2021;;72669
0010000008;BERNARDY;2021;;19864
0030100027;SDOMODE;2021;;8990
0010013356;ORGAPHARM consolidé (sites 1 et 2);2021;40605;96304
0009069922;Orano Cycle Tricastin;2021;;2022548
0006512239;Source Chantereine;2021;33450;
0005600212;PAPETERIES D'ESPALY S.A.;2021;14225;
0007000649;ETABLISSEMENTS BOCAHUT SAS.;2021;;1924983
0005900821;FROMAGERIES BEL PRODUCTION FRANCE (FBPF);2021;38328;
0006400055;Sté ELIS SANTE ROUSSET;2021;74240;
0006503170;ITON SEINE;2021;;186687
0005200936;DISTILLERIES VINICOLES  DU BLAYAIS;2021;;33184
0057900712;SOCIETE FROMAGERE DE RIBLAIRE;2021;;330215
0006508676;POLYONE France;2021;3366;
0028100061;REFRACOL DUPONT et Cie;2021;74;
0005503324;DAUNAT BRETAGNE;2021;42373;
0046900033;CHARCUTERIE ANSELME SA - Vénissieux;2021;4444;
0005200378;VALBOM;2021;26587;100052
0005302192;CIBEL;2021;2699;
0005702721;SAICA PAPER EL;2021;;1430031
0006700516;BRASSERIE LICORNE;2021;193966;
0007000519;3M FRANCE;2021;23050;0
0007006131;RECYCO;2021;;0
0006505957;MECACHIMIQUE;2021;1248;
0010004110;HYDROCHEM;2021;1138;
0005901447;VMC PECHE;2021;;8422
0006300964;GENDREAU;2021;84102;
0051700542;ARMOR PROTEINES;2021;;60000
0006301051;APROCHIM SA;2021;;11833
0006200004;DAUM;2021;;4997
0005800595;HOLOPHANE SAS;2021;35013;60999
0010000002;MBDA France;2021;26753;15274
0005425601;SETEO (nouveau);2021;17444;
0007201789;QUADRIPACK;2021;3972;
0010001665;SAINT GOBAIN SULLY (ex SULLY PRODUITS SP;2021;20498;
