identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006301413;GALLIANCE ANCENIS;2020;;;214295;
0006404675;Microchip Technology Rousset S.A.S.;2020;;22444;1400;
0058900588;FROMAGERIE LINCET;2020;61644;;;
0007404055;CLIMESPACE;2020;;;98453;
0057908818;SAS SOFIVO;2020;0;0;287299;0
0006102660;LABORATOIRE OXENA;2020;15000;0;110;0
0005300463;CIMENTS CALCIA;2020;9105;100394;7928;
0005501486;CARGILL FRANCE SAS;2020;;448710;40552;
0054201345;EAUX MINERALES DE SAINT ALBAN LES EAUX;2020;62646;;469730;
0006400463;AZUR DISTILLATION;2020;37600;35657;2901;
0006201021;COMPAGNIE DES FROMAGES ET RICHESMONTS;2020;;;301212;
0006102079;CHIMICOLOR;2020;10029;;;
0005702038;MALTERIES SOUFFLET et AGRICULTURE;2020;952777;;;
0050100743;GAEC DE L'ORME;2020;10811;;1964;
0006200868;LES SABLIERES DE LAIMONT;2020;0;119000;0;0
0007000683;ALVANCE ALUMINIUM DUNKERQUE SAS;2020;;217954;60676;
0005800489;METROPOLE ROUEN NORMANDIE;2020;182482;;;
0006102033;UGITECH;2020;58529;0;2549;0
0005800635;ARLANXEO ELASTOMERES FRANCE SAS;2020;212613;0;650217;0
0052902141;SCEA DE LA VALLEE;2020;25788;;;
0052901454;SCEA DU MERDY;2020;11000;;;
0058502893;GAEC DE LA GROIE;2020;18917;;;
0005100901;SOPROGAZ;2020;168868;;;
0057300315;PROVENT SDPR - PORCHERIE DE SAINT GIROD;2020;8700;;;
0006303831;INITIAL BTB;2020;27257;;649;
0005600463;EUROAPI;2020;;1699377;68031;
0006508159;KNAUF PLATRES et Cie;2020;221797;;8293;
0006804030;CARRIERES DU SUD OUEST;2020;41909;;;
0006506514;IVRY PARIS 13;2020;;842874430;10964;
0055001641;FILLATRE(SARL);2020;9672;;;
0007203926;CALCIA Ciments Usine;2020;;147397;42466;
0058502762;EARL BRETAUD;2020;7822;;;
0005302025;MLC;2020;101732;;;
0007000949;SPECITUBES SAS;2020;9227;;686;
0055601354;SCEA FORMAL;2020;14600;;;
0016400363;SICTOM Nord Allier;2020;;25434;;
0005401289;PRYSMIAN;2020;153679;;12870;
0005900400;PAPETERIE DE MANDEURE;2020;;727663;782;
0005800367;EURIAL ULTRA FRAIS;2020;201762;;10044;
0058600818;ABATTOIR DE MONTMORILLON SAS;2020;;;53111;
0005700356;CARRIERES DE L'EST;2020;29200;;;
0006601371;LAFARGEHOLCIM GRANULATS (Carr BAIXAS);2020;23020;;;
0006700577;ROSSMANN;2020;;10116;;
0006302127;AROMES DE CHACE;2020;66595;;;
0005503619;ELIS LOCALINGE;2020;52519;;1326;
0006401988;APTUNION;2020;;35458;10168;
0006301099;COMPAGNIE EUROPEENNE DE TANNAGE-CET;2020;;164735;10374;
0005702721;SAICA PAPER EL;2020;1970353;0;2772;0
0010001744;DURALEX INTERNATIONAL;2020;32835;;2;
0006512640;GSM;2020;;244147;;
0052202633;SCEA ELEVAGE DE LA HOUSSAYE;2020;12921;;;
0006506328;GALVANOPLAST / SOCORFI;2020;10180;;;
0052204897;EARL GRONE;2020;13220;;;
0006104769;SGL CARBON  SA;2020;;1935860;;
0006600448;CIMENTS CALCIA;2020;39162;;16000;
0005200378;VALBOM;2020;0;0;151930;0
0006402259;SERAMM Usine des boues;2020;0;77882;55950;0
0006205027;GLACES THIRIET SAS;2020;;;73131;
0005101341;Brasseries et Cidreries de Milly;2020;16784;;6;
0007000830;Peugeot Citroën Mécanique du Nord Ouest SNC;2020;0;0;78749;0
0006100900;BUDILLON-RABATEL;2020;248909;;;
0006208315;GRANULATS VICAT MONCEL;2020;;95364;;
0005701701;CIMENTS CALCIA;2020;316993;;;
0005301826;PAPECO;2020;;168232;5610;
0007001689;RLST ELIS;2020;65738;;776;
0006103493;VERALLIA FRANCE (ST GOBAIN EMBALLAGE);2020;44643;22245;7085;0
0006503800;MAJ;2020;86831;;3449;
0057600352;SCEA DU MONT AU ROUX;2020;31062;;;
0010011931;CIMENT ROUTE;2020;54660;;;
0007201384;MARIE SURGELES;2020;;;197014;
0007000508;COMILOG ex Dunkerque Electrométallurgie;2020;25085;0;46988;0
0007000052;CARRIERES D'HOUDAIN SAS;2020;646641;;;
0053000374;DUC (SA);2020;0;0;122539;0
0006104025;MERCK SANTE;2020;19731;;32509;
0005800600;DISTILLERIE HAUGUEL SA;2020;;319729;2266;
0007001297;Eaux Minérales de St Amand - Sc Clos;2020;445526;;;
0050100354;EARL DES QUATRE SAISONS;2020;15570;;;
0005800587;ESSITY OPERATIONS FRANCE;2020;1627709;;23707;
0006506686;COCA COLA EUROPEAN PARTNERS CCEP;2020;670601;;19393;
0007004138;SA  ALPHAGLASS;2020;;43256;;
0003012315;COGECAB;2020;38956;0;;
0006503224;INITIAL BTB (ex GALLIA);2020;33379;;2000;
0007001046;LESIEUR;2020;;207949;238928;
0005701330;3P - Produits Plastiques Performants;2020;;;84662;
0055000838;2J ORVAIN (GAEC);2020;;12900;;
0005801765;FROMAGERIE BOURSIN;2020;70358;0;1076;0
0006401203;PROVENCE GRANULATS;2020;34950;0;0;0
0006104504;Framatome Ugine;2020;;111316;9875;
0006100960;BALTHAZARD et COTTE;2020;40097;;;
0006400259;LAFARGEHOLCIM CIMENTS;2020;79929;;;
0005206306;BOUYER LEROUX;2020;5686;4091;4930;0
0006400990;KEM ONE France;2020;;;2586114;
0005600022;ADISSEO FRANCE S.A.S;2020;;1963201;14258;
0006802701;Centre Hospitalier de Bigorre;2020;;;99458;
0006100715;GRANULATS DE LA DROME;2020;13230;0;0;0
0006204558;ARCELORMITTAL CF;2020;13203;;43496;
0006207323;GRANULATS VICAT;2020;;311511;;
0054902469;SECHET CHAINDRIE (GAEC);2020;13165;0;;
0007101810;GRANULATS DE L'EST;2020;37983;;;
0006506164;NCS PYROTECHNIE;2020;63744;0;1954;0
0052902810;SARL René COLIN;2020;36323;;;
0006806581;KNAUF INSULATION LANNEMEZAN SAS;2020;0;182698;9906;0
0055602981;EARL COSPEREC;2020;14052;;;
0005701177;LUZEAL;2020;90046;;;
0005302882;SIRAC;2020;73492;0;4848;0
0006400408;MARONCELLI;2020;73848;;;
0052901515;SCEA BERNARD LE GALL;2020;17000;;;
0006300033;CHARIER CM - CARRIERES ET MATERIAUX;2020;475760;;;
0006400948;GEOGAZ Lavéra;2020;;16000;;
0005600041;STELLANTIS (ex PSA Peugeot Citroen);2020;145769;;126458;
0005200361;SIAP-SARP INDUSTRIES AQUITAINE PYRENEES;2020;0;0;57328;0
0005301510;SOCIETE FROMAGERE DE SAINTE CECILE;2020;;;347177;
0010000241;HYDRO ALUMINIUM EXTRUSION SERVICES;2020;24416;0;450;0
0052903755;EARL DE KERVENAN;2020;9494;;;
0055301450;HOLVIA PORC;2020;0;0;106456;0
0006103253;AHLSTROM BRIGNOUD SA;2020;;1139849;1010;
0058900008;SCEA LES TREMBLATS II;2020;20080;;;
0006606082;Carrière SARL PATEBEX Brasse Cournanel;2020;;52658;;
0006103108;VICAT;2020;337785;;7558;
0006401312;LAFARGEHOLCIM GRANULATS;2020;9765;;;
0052201349;SCEA DE LA VILLE PEAN;2020;48963;;;
0010001118;ORANGINA SUNTORY FRANCE PROD;2020;558766;;2994;
0005702355;UNILIN SAS;2020;;;318859;
0005501795;UFM - UNION FERMIERE MORBIHANNAISE SAS;2020;78;0;405141;0
0006804068;SOCIETE DES EAUX MINERALES DE LUCHON SAS;2020;223059;0;924;0
0005501569;COOPER STANDARD FRANCE;2020;11184;;4421;
0006807478;SABLIERES MALET - CAZERES;2020;9702;;;
0053501019;EARL LA COUDRE;2020;7200;;;
0007000737;TEINTURERIE DELALYS;2020;;25164;732;
0006112223;CEICA INDUSTRIE SAS;2020;1346381;;;
0006702299;TRANSPORTS KLEIN;2020;0;0;55048;0
0010000743;SMLF;2020;9525;;336;
0005401075;KRONOSPAN SAS;2020;;83188;;
0006800423;SABLIERES MALET SA (Martres tolosane);2020;187850;;;
0005401359;SALZGITTER Mannesmann Stainless Tubes;2020;;148572;3891;
0052901610;EARL RUN AVEL SPI;2020;9780;;;
0007201328;RHODIA OPERATIONS;2020;209188;0;13054;0
0007000656;TEREOS Sucrerie de Boiry;2020;193469;;17752;
0010300065;NOVOCERAM SAS;2020;26458;;;
0005301918;FLORETTE FRANCE GMS;2020;;;331374;
0052903791;SARL COADOUR;2020;26700;0;0;0
0006112086;BLANCHISSERIE DU GRAND LYON;2020;22497;;;
0006104306;GRID SOLUTIONS;2020;7108;0;4509;0
0005701143;ARCELORMITTAL FRANCE;2020;0;214930;0;0
0006803381;SABLIERES MALET;2020;106256;;;
0005700716;SOCIETE DES CARRIERES DE L'EST;2020;21500;;;
0006104565;SYND MIXTE DU LAC D ANNECY;2020;;;60588;
0007000581;ASTRAZENECA DUNKERQUE PRODUCTION;2020;0;0;54717;0
0005105479;ELIS PICARDIE RLST SA;2020;36513;;429;
0006701320;FLENDER GRAFFENSTADEN;2020;101095;;1834;
0006104379;ARKEMA USINE DE LA CHAMBRE;2020;4779854;5115902;2750;
0006102858;CONDAT SA;2020;96629;;;
0006107516;VALRHONA;2020;236372;0;11493;0
0056800039;SARVAL EST;2020;61640;0;7126;0
0058601079;MARIE SURGELES;2020;;;101095;
0005503336;CELTARMOR;2020;;;4307;48633
0005200110;CORENSO France SA;2020;2452;714274;;
0054901090;ELIVIA SAS;2020;;;232482;
0006807362;INITIAL;2020;15849;;1013;
0007001630;DESVRES Maubeuge;2020;;;50982;
0006700065;FULCHIRON Alsace;2020;339600;;;
0052903463;MERALLIANCE ARMORIC;2020;0;0;115428;0
0005800523;NESTLE France;2020;892847;;8784;
0009071301;Station d'Epuration : AIX EN PROVENCE LA PIOLINE;2020;;;73481;
0005201642;Usine DRT Vielle-Saint-Girons;2020;16341;;487;
0005520433;SOCIETE SARZEAU CARRIERES & MATERIAUX;2020;;83960;;
0006201020;EUROSERUM;2020;;;161858;
0006102364;OI FRANCE SAS;2020;0;14407;6320;0
0006900013;EDF SEI;2020;0;0;221136;0
0052205198;SCEA DE LA GARENNE;2020;19000;;;
0010100230;COURANT SAS;2020;94958;;;
0052201219;EARL DARTOIS;2020;7320;;;
0007000776;PRODUITS CHIMIQUES DE LOOS;2020;1242374;1749719;23237;
0054902094;ELIVIA SAS;2020;;;50576;
0052902128;EARL KERVEILLANT;2020;9300;;;
0006103721;Polytechnyl;2020;1314556;0;0;0
0006103750;BENTA LYON;2020;;;65597;
0010001318;MAINGOURD;2020;379736;;;
0055000439;SOCOPA VIANDES;2020;;;197970;
0052903617;LE BRAS (SCEA);2020;9035;;;
0006700642;ESSITY (ex TISSUE FRANCE);2020;917055;;19149;
0007000706;SCORA;2020;;;226221;
0056100400;SOCIETE NOUVELLE DE VOLAILLE - S.N.V.;2020;47178;0;22238;0
0052215635;SARL CJA (CARO JULIEN AVICULTURE);2020;11000;;;
0006400955;NAPHTACHIMIE ;2020;;11577522;195254;227690768
0052902925;EARL DU LEURIOU;2020;21000;;;
0052904125;SCEA ELEVAGE DE MENEZ KAMP;2020;22500;;;
0005100096;MATERNE;2020;;;224912;
0054401867;COVI SAS;2020;;;233670;
0006201887;ArcelorMittal France - Train à chaud;2020;;;199539;
0006104534;GRAPHOCOLOR;2020;;;140000;
0054900242;JULIERE (SCEA DE LA);2020;;7500;;
0006700471;BOREALIS PEC RHIN;2020;3151147;94921488;24096;0
0052902347;SCEA KERGONCILY;2020;12865;;;
0052202967;SCEA ELEVAGE AVICOLE DE CRECH MIN;2020;7500;0;0;
0007000829;FRANCAISE DE MECANIQUE;2020;0;198658;5296;0
0006102031;ARCELOR MITTAL WIRE FRANCE;2020;209855;;6584;
0006400942;KEM ONE France;2020;;1731729;;
0006105210;SARL élevage du Formans;2020;10545;;2079;
0053502545;ETABLISSEMENTS ABERA;2020;199561;;;
0005901743;LES CARRIERES JURASSIENNES (VINCENT);2020;467949;;;
0006700048;SARL GRAVIERE ET SABLIERE HUBELE;2020;180325;;;
0006208689;EQUIOM GRANULATS (ex-HOLCIM);2020;325994;;;
0006304150;CET ENVIRONNEMENT;2020;;51320;250;
0006103381;INDUSTEEL FRANCE;2020;;157068;23175;
0052206036;ELEVAGE AVICOLE LOZACH LEYAN;2020;8500;;;
0005100240;ANETT (ex HYRIS);2020;63266;;6555;0
0052902842;EARL DE LA CIGOGNE;2020;14568;;;
0054400758;SARVAL Ouest;2020;;14062;169043;
0005800585;KIMBERLY CLARK SNC;2020;282530;;98860;
0006501905;LINDE France s.a.;2020;0;73450;1267;0
0007000703;SECAB SARL;2020;794735;;7073;
0010007905;SABLIERES DU THIEULIN SAS;2020;158079;;;
0005401151;INDUSTEEL FRANCE;2020;0;0;174313;0
0006700008;QUARTZ DE HAGUENAU;2020;472500;;;
0005301495;SOCIETE BEURRIERE D'ISIGNY;2020;0;0;117927;0
0010000316;EXPANSCIENCE;2020;15049;;83231;
0055602062;BERNARD SA;2020;;44929;353829;
0006802560;ECONOTRE;2020;;122623;25173;
0006800277;GRANULATS VICAT;2020;;32337;;
0006601737;Société NESTLE WATERS SUPPLY SUD;2020;1059610;;;
0052904165;LE CORRE ROBERT (SCEA );2020;11000;;;
0006200817;INNOSPEC PERFORMANCE CHEMICALS;2020;687955;;;
0006107855;GENZYME POLYCLONALS;2020;;;62493;
0006407694;le Panier Provencal;2020;;207783;;
0006000314;SMURFIT KAPPA Papier Recyclé France;2020;0;1753249;5459;0
0006701057;Société des Malteries d'Alsace;2020;377513;;14250;
0005202690;ARKEMA France;2020;487329;81870;12245;
0006200920;SUEZ RV MEUSE (ex-MEUSE ENERGIE);2020;35510;0;18;0
0054400707;AGIS Etablissement d'Herbignac;2020;;;114180;
0005701122;CANELIA;2020;68013;;282415;
0052904209;EARL BONNIOU;2020;10000;;;
0006803107;Boehringer Ingelheim (ex MERIAL);2020;31640;;17632;
0007403760;MA FRANCE;2020;24168;;;
0010600538;HCL HOPITAL LYON SUD;2020;;;142426;
0006503411;AIRBUS SAFRAN LAUNCHERS (DEFENCE&SPACE);2020;621349;;34180;
0007000824;APERAM ISBERGUES;2020;75825;630022;888;
0028200058;IGNEO (ex WEEE METALLICA);2020;12211;549;;
0005101667;DOW France (ex ROHM AND HAAS);2020;;18000;2120;
0007001044;LACTALIS NESTLE ULTRA-FRAIS MARQUES;2020;353134;0;27;0
0005301484;AURYS GLASSOLUTIONS S.A.S.;2020;;;110218;
0052902594;LEONBERG (EARL);2020;24900;;;
0005500166;GELAGRI BRETAGNE (LOUDEAC);2020;;;685712;
0006301216;FROMAGERIES PERREAULT;2020;66703;;478300;
0010000793;ALLAIRE;2020;149496;;2192;
0006700187;GRAVIERES D'ALSACE LORRAINE;2020;828400;0;0;0
0006506903;GSM Ouest (criblerie Carrières\Poissy);2020;;69860;;
0005501351;NOBELSPORT;2020;;819973;19011;
0006102857;FINORGA-AXPLORA;2020;1401588;;41907;
0009069910;EDF - CNPE de Nogent-sur-Seine;2020;189000;129457000;;
0052202397;EARL DE KERLOIC;2020;13450;;;
0005202193;SAS LES JUS DU SOLEIL;2020;;81516;51796;
0053500895;SCEA DU BOIS DE THIOUZEE;2020;;10044;;
0005401583;BTB Initial Longvic;2020;28039;;818;
0010400570;SCEA SOGIFRA - MEPIEU;2020;18000;;;
0006804009;UNITHER LIQUID MANUFACTURING;2020;;;54666;
0006502209;CALCAIRES DE LA BRIE;2020;349974;;;
0006700403;ROSSMANN Sainte-Croix-aux-Mines;2020;;89730;12147;
0005800412;SANOFI CHIMIE SA;2020;11505273;;22029;
0006401076;Air Liquide France Industrie;2020;;;431774;
0006702202;TFL France SAS;2020;;451497;11553;
0053600674;LEROUGE OLIVIER;2020;9500;;3000;
0010000030;TRIBALLAT Hubert Laiteries;2020;391483;;20460;
0009069901;EDF - CNPE du Blayais;2020;17239;4698502700;;
0005300868;G.E.PART. 14;2020;33795;;;
0007201539;SOCIETE FROMAGERIES LESCURE;2020;0;0;189906;0
0005100499;WEST PHARMACEUTICAL SERVICES;2020;0;0;172536;0
0005425537;DUC;2020;312347;0;1065;0
0006201969;SCHOTT VTF;2020;27842;0;4361;0
0005701671;TEREOS NUTRITION ANIMALE;2020;69068;;586;
0005202026;ANTARCTIC FOODS  AQUITAINE (ex PINGUIN);2020;266647;;1614;
0052902968;EARL DE KEROUGANT;2020;13957;;;
0006112329;SK Functional Polymer;2020;;;90472;
0006802215;DANONE;2020;;271732;;
0005600419;ROCKWOOL FRANCE SAS;2020;;168508;100846;
0006802449;NUTRIBIO;2020;144351;3187;346176;
0006502558;SOPRONEM;2020;161034;0;18439;0
0055301494;SCEA FERRE PASCAL;2020;7688;0;0;0
0052901878;EARL SEAC'H;2020;11500;;;
0005100349;SOPROCOS;2020;57142;;1148;
0006700570;RAVAGO Building Solutions France;2020;;;128081;
0006102564;BOIRON FAUGIER G.I.E;2020;1889750;;5994;
0057900586;SCEA PROPORCS;2020;13900;;;
0005701195;WALOR;2020;;21900;4650;
0052903990;EARL ROMEKER;2020;;7993;;
0005200249;FORESA FRANCE SAS;2020;99370;0;95857;0
0006301011;FROMAGERE DE BOUVRON (société);2020;;;465059;
0006300981;Fromageries Bel Production France;2020;0;0;501337;0
0006700781;SOPREMA;2020;1276985;;;
0005102362;AJINOMOTO FOODS EUROPE;2020;;;5209735;
0052900226;LICHOU (SAS);2020;10100;;;
0054200292;NIGAY S.A.;2020;32617;;70371;
0050100813;BOEHRINGER INGELHEIM SANTE ANIMALE;2020;25216;0;3931;0
0005901100;FIDAY GESTION;2020;26501;200498;7360;
0052902505;FRONERI FRANCE SAS;2020;28393;19536;146719;
0010000033;MFP MICHELIN;2020;67736;;3520;
0057201121;DROUAULT;2020;55867;;4290;
0010000504;LHOIST FRANCE OUEST;2020;118673;;264;
0006110007;COSMOPAR SA;2020;49449;;3490;
0006700526;ARLANXEO Emulsion Rubber France SAS;2020;1232364;0;9315;0
0057101443;PALMID'OR BOURGOGNE;2020;0;0;82439;
0006506277;SAFRAN AIRCRAFT ENGINES;2020;45787;;44677;
0006400904;CHAUX DE PROVENCE SACAM;2020;78588;;21031;
0006107527;VENCOREX FRANCE;2020;21127284;24491918;171718;0
0006102859;SIRA;2020;55406;0;5939;0
0054400843;SARL LD PORSAIN;2020;;12078;;
0006400353;LA MESTA SAS;2020;9757;;24250;
0006302581;SAVED;2020;23819;;2790;
0006400055;Sté ELIS SANTE ROUSSET;2020;;;83328;
0005500481;SAS LCA;2020;;;173347;
0006202256;OI France SAS;2020;0;301412;29445;0
0006400504;FLORETTE France GMS;2020;318947;;5769;
0005101048;Société LAITIERE DE CLERMONT;2020;305501;;311;
0006700567;DS SMITH PAPER KAYSERSBERG;2020;;1489562;;
0057902974;COOPERL ARC ATLANTIQUE;2020;;;262801;
0006201370;EQIOM;2020;130500;153050;12815;
0006506266;CEVE (Ex SDCC);2020;;;131804;
0006100092;AIN RHONE GRANULATS;2020;11906;;;
0005701087;A SCHULMAN PLASTICS;2020;;55416;1172;
0007205571;DISTILLERIE DE LA GROIE;2020;54941;;;
0007000575;DICKSON CONSTANT;2020;0;0;81587;0
0054901359;AGRÉÉ MULTIPORCS (GAEC);2020;8748;;;
0007000589;INEOS STYROLUTION FRANCE SAS;2020;1039130;;;
0005300005;FLECHARD;2020;231271;;655;
0005202851;EMAC;2020;0;89748;6157;
0006800360;MIDI PYRENEES GRANULATS;2020;;32961;;
0006202598;SOCIETE FROMAGERE DE XERTIGNY;2020;166000;;257;
0055603715;EARL MONPAS;2020;14593;;;
0005401259;AIR LIQUIDE France INDUSTRIE;2020;10567;;1425;
0010005083;SKF FRANCE;2020;64433;;7564;
0006301701;MESSER FRANCE;2020;;;141109;
0005800299;TOTALENERGIES FLUIDS;2020;0;326394;3050;0
0010000765;SYNTHRON;2020;106785;;;
0054500401;DOMAINE DES ACACIAS;2020;8160;;;
