identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006600812;O-I FRANCE SAS;2020;12012;;75816;
0006802476;SAS VM BUILDING SOLUTIONS;2020;;316481;;
0006300314;TRAVAUX PUBLICS DES PAYS DE LOIRE (TPPL);2020;;14343;;
0006502055;LESAFFRE Sucrerie;2020;37725;;123;
0006400245;SOMECA;2020;;;78108;
0006103851;TOKAI COBEX SAVOIE;2020;101136;;3781;
0006102645;AIR LIQUIDE FRANCE INDUSTRIE;2020;135989;;;
0005600162;LALLEMAND SAS;2020;;;50625;
0053503901;SCEA CRESPEL;2020;35990;;;
0006106947;SUEZ RR IWS CHEMICALS FRANCE;2020;280651;384000;8419;
0052900746;GAEC DE LESTANET-HUELLA;2020;25000;;;
0006400445;SMURFIT KAPPA PAPETERIE ALFA D'AVIGNON;2020;0;1025958;0;0
0007000727;RENAULT DOUAI SNC;2020;0;362694;50201;0
0007001409;CANELIA;2020;;;274277;
0006700614;LEUCO PRODUCTION SAS;2020;55257;0;2716;0
0009000281;BCRM TOULON - POLE ECOLES MEDITERRANEE;2020;;;123856;
0006504715;Eau du Sud Parisien ESP;2020;1818783;43967369;;
0007001036;Centre Hospitalier Universitaire;2020;0;0;338534;0
0058500832;CHARAL;2020;12321;;64528;
0052205934;EARL DU CLEZIO;2020;9383;;;
0006400685;SEM;2020;;40000000;;
0051600313;SCEA POLYPORCS;2020;13656;;;
0016400436;SOC NOUVELLE DES ETS ROCHIAS;2020;22492;;12208;
0006201556;SOCIETE MECANIQUE AUTOMOBILE DE L EST (SMAE);2020;53585;;6995;
0006103699;EDILIANS ex IMERYS TC;2020;11962;;1534;
0006103546;RECYLEX;2020;8208;;;
0005504457;COMPAGNIE DES PECHES PRODUCTION;2020;44667;;5497;
0006301295;CONSTELLIUM MONTREUIL JUIGNE SAS;2020;;40206;21310;
0006300713;CARRIERES TAVANO SA;2020;0;510250;91;0
0006400884;JEAN LEFEBVRE MEDITERRANEE SA;2020;;111438;;
0006700653;TRONOX FRANCE SAS;2020;313341;1658611;181501;
0052901613;SAS BILLON;2020;36396;;;
0006200037;SOVAB;2020;;;262968;
0057100394;GROUPE BIGARD;2020;0;0;312972;0
0007206026;LOCATEX;2020;;30077;722;
0006104785;BECTON DICKINSON;2020;748826;0;118423;0
0005301825;COOPERATIVE  ISIGNY STE MERE;2020;81122;;6634;
0006506568;A2C GRANULAT;2020;347180;;;
0006506104;HAUGUEL (Distillerie);2020;;793872;3446;
0010001585;SIFA TECHNOLOGIES SA (GROUPE ARCHE);2020;52212;;1068;
0055601402;SCEA DES BRUYERES;2020;17155;;;
0052204820;GAEC DE L UNION;2020;10800;;;
0018100044;FULCHIRON INDUSTRIELLE;2020;129970;;;
0005301493;COMPAGNIE DES FROMAGES & RICHESMONTS SCA;2020;;;294529;
0006301359;SOCIÉTÉ INDUSTRIELLE DE SAINT FLORENT;2020;;125825;206105;
0052903294;EARL COSQUER;2020;14900;;;
0007000728;AIR LIQUIDE FRANCE INDUSTRIE;2020;;891547;9121;
0007000643;BORAX FRANCAIS;2020;;703117;12715;
0006103703;FRESENIUS MEDICAL CARE SMAD;2020;0;0;402919;0
0005900890;SOCIETE FROMAGERE DE LONS LE SAUNIER;2020;0;0;112724;0
0006400118;LECASUD;2020;27628;0;313;0
0006300906;LAITERIE DU VAL D'ANCENIS;2020;;;1053162;
0005301789;MLC SOTTEVAST;2020;1078270;;53157;
0005701442;GANTOIS;2020;;46609;3367;
0006600055;MAJ ELIS;2020;37221;;17230;
0006700216;HOLCIM BETON GRANULATS HAUT RHIN - HBGHR;2020;1186778;;;
0010400164;KERRY RAVIFRUIT;2020;111140;0;17245;0
0052903492;GROUPE BIGARD;2020;40593;;738246;
0005202283;CONSERVES FRANCE SA;2020;;556914;1434;
0006301299;NORPAPER NANTES;2020;;702912;22116;
0005501217;NESTLE PURINA PETCARE FRANCE (SAS);2020;;;52837;
0005701543;VERALLIA-FRANCE;2020;53301;0;;
0053800011;AOSTE SNC;2020;3413573;;5174;
0006306553;ORBELLO GRANULATS SARTHE;2020;8271;;;
0006302382;BOUYER LEROUX SA;2020;8190;;4181;
0006102715;GERFLOR PROVENCE SNC;2020;144877;0;47572;0
0052204018;SCEA ELEVAGE DE LISNOBLE;2020;14500;;;
0010000008;BERNARDY;2020;66883;;10152;
0010000496;BALSAN SA;2020;44603;0;885;0
0006601535;CARRIERE OMYA VINGRAU- ISDI;2020;17058;;;
0005801350;MAJ (ELIS NORMANDIE);2020;102782;;4715;
0007003219;STAUB FONDERIE;2020;38431;;7812;
0006102526;CHEDDITE FRANCE S.A;2020;7722;;4425;
0052903620;EARL TANGUY Michel;2020;7847;;;
0007001960;MALTERIES FRANCO-BELGES (St Saulve);2020;233907;0;265;
0006700467;PSA Peugeot Citroën SNC Mulhouse;2020;733337;;;0
0006700422;DOW AGROSCIENCES SAS Drusenheim;2020;62362;;9372;
0006103394;SOFIDEL FRANCE;2020;220747;;;
0006201702;FERCO INTERNATIONAL;2020;;33375;16565;
0006103633;JTEKT AUTOMOTIVE LYON;2020;1191145;;15580;
0054100073;REITZEL-BRIAND S.A.S.;2020;71905;;;
0007002299;SOUP'IDEALE;2020;;;63489;
0006105017;MATEL COULEURS TEXTILES;2020;14477;;53475;
0006601574;GIE CHIMIE SALINDRES;2020;0;438109;0;0
0005101078;COLGATE PALMOLIVE;2020;495699;0;15552;0
0010000702;MICHELIN;2020;24861;;;
0005102374;BONDUELLE EUROPE LONG LIFE;2020;2968580;;;
0005500040;LNA LAITERIE NOUVELLE DE L ARGUENON;2020;161151;;509067;0
0006400998;SOLAMAT MEREX;2020;;;87342;
0006400956;OXOCHIMIE;2020;;374493;;
0052902949;EARL KOAT PENHOAT;2020;14900;;;
0056700320;SOCOPA VIANDES HOLTZHEIM;2020;;;95000;
0006202240;BLANCHIMENT DE XONRUPT (2);2020;37719;;26449;
0052700280;SOCOPA VIANDES;2020;;;88511;
0005600465;EUROPAFI;2020;;394419;6943;
0005301827;CARGILL FRANCE SAS;2020;182020;0;472971;
0006802157;RATIER FIGEAC  Sas;2020;17444;;;
0006205449;SOCIETE DES FOURS A CHAUX DE SORCY;2020;146841;;;
0052902265;EARL DU MANOIR;2020;13500;;;
0005302798;SOLAIPA SNC;2020;0;4404;118400;0
0006102997;FERROPEM;2020;;1352045;26606;
0005403182;BUTAGAZ;2020;48530;;751;
0005401104;EUROSERUM;2020;669836;295875;0;0
0005500491;YFFINIAC INDUSTRIE LAITA;2020;169398;0;130052;
0010001078;DIOR (Parfums Christian);2020;106762;0;10992;
0005500062;SOCOPA VIANDES;2020;0;0;77984;0
0010002969;GSM;2020;49953;813;;
0010000651;CHALUMEAU LAQ'ALU SA - ANOLAQ;2020;11505;0;509;0
0006104744;EUROCAST THONON;2020;32028;;4320;
0005701946;DISLAUB;2020;343136;;1555;
0052100705;GROUPE BIGARD;2020;0;0;82807;
0006401183;SEC;2020;14885;;;
0005900162;PAPETERIE ZUBER RIEDER;2020;678686;0;872;0
0006202170;NESTLE WATERS SUPPLY EST Contrexéville;2020;206790;;;
0055600800;CADF SA;2020;237859;0;23231;0
0005702103;PETIT BATEAU;2020;79911;;1447;
0007001999;KALHYGE1 Unité de Bethune;2020;31094;;;
0007000481;HSWT (ex HYET SWEET);2020;;226536;196817;
0005102027;SECODE;2020;8167;;;
0057200464;VALLEGRAIN ABATTOIR;2020;16593;114336;;
0006102962;UMICORE SPECIALTY POWDERS FRANCE;2020;121495;;6082;
0007002953;DRAKA COMTEQ FRANCE;2020;;;101992;
0054400117;GALLIANCE LE BIGNON;2020;;;89364;
0005904207;SCE (Osselle);2020;;63230;;
0052903803;EARL CAPITAINE;2020;16470;;;
0005502037;ALTHO SAS;2020;;;249945;
