identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0005301322;GUY DEGRENNE INDUSTRIE;2019;31085;
0006506909;SIH;2019;28623;
0007002304;D'HONDT THERMAL SOLUTIONS;2019;;10519
0005600326;TRELLEBORG INDUSTRIE;2019;26783;0
0005900758;SNTS;2019;1050;
0006502229;FRANCE BUILDING PERFORMANCE SA;2019;0;0
0006301837;CARENE ISDND;2019;;8405
0005302849;LACTALIS NESTLE ULTRA FRAIS MARQUES;2019;;395515
0006103523;OI FRANCE SAS;2019;;24825
0006104157;HCL HOPITAL EDOUARD HERRIOT;2019;154784;
0005201378;FONDERIES ET ATELIERS DU BELIER;2019;;1046
0056900178;SEDE ENVIRONNEMENT;2019;2607;
0007004169;COLAS;2019;;3000
0006301427;TIPIAK épicerie;2019;12908;
0006309839;SECHE ECO INDUSTRIES;2019;;414213
0006112348;NOVACYL;2019;11856;1880951
0010000552;GUYARD CHESNEAU & CIE;2019;9030;
0005401901;REFRESCO France;2019;130029;
0010000714;FAREVA Amboise;2019;;20879
0007001023;ENERGIE GRAND LITTORAL;2019;0;
0005601349;CANDIA Gerzat;2019;392286;
0007000630;AGRATI VIEUX CONDE SAS;2019;14530;
0056100002;ELIVIA ALENÇON;2019;75767;
0005201222;ETEX FRANCE BUILDING PERFORMANCE;2019;0;0
0006503970;HELIO CORBEIL;2019;173;
0006700649;SCHAEFFLER FRANCE U1 Haguenau;2019;36631;
0007003161;BOULONNAIS (Communauté d'Agglomération);2019;;8207226
0005302436;SNCO;2019;4000;
0006301093;ETABLISSEMENTS LOUIS TESSIER;2019;;417967
0005402390;ACYCLEA;2019;183;2350
0006506328;GALVANOPLAST / SOCORFI;2019;18301;
0005701322;BONGRAIN GERARD (usine);2019;;269965
0005800614;APLIFIL;2019;;1958
0006700426;DOW France SAS (ex ROHM AND HAAS);2019;;2688529
0009069903;EDF - CNPE de Flamanville;2019;;1791368320
0055100052;LES ELEVEURS DE LA CHAMPAGNE;2019;;87903
0006114421;IDEAL;2019;386;
0006800423;SABLIERES MALET SA (Martres tolosane);2019;0;0
0005800619;SYSTEMAIR AC;2019;0;0
0006700766;LINGENHELD ENVIRONNEMENT;2019;6950;
0006401906;Usine du Gargalon;2019;;317720
0005205559;STEICO Casteljaloux;2019;;58649
0006200677;R.A.M LOCATIONS;2019;2573;
0010100025;MSA PRODUCTION FRANCE SASU;2019;465;
0007407695;L'IMPRIMERIE;2019;2255;0
0006506542;SPVM;2019;500;8708
0005102078;DS SMITH PACKAGING EX OTOR PICARDIE;2019;;386852
0006107561;TERECOVAL;2019;;1347
0007208217;EDF (OPTIMAL SOLUTIONS);2019;;87409
0006400948;GEOGAZ Lavéra;2019;31838;
0006103735;IMERYS TC;2019;1416;
0006400445;SMURFIT KAPPA PAPETERIE ALFA D'AVIGNON;2019;0;491620
0006507338;AUCHAN (hypermarché);2019;93333;93333
0005500070;ENTREMONT ALLIANCE;2019;712876;
0009073301;STEP SABAREGES;2019;;6528995
0006705039;CERNAY ENVIRONNEMENT;2019;24755;
0006102813;TRIVIUM ALUMINIUM PACKAGING France;2019;21881;81149
0005201068;CHU Hôpitaux de Bordeaux;2019;189410;
0005600162;LALLEMAND SAS;2019;30220;
0006201213;ArcelorMittal France - Sainte Agathe;2019;;1135975
0009000024;BA 125 Istres;2019;160000;0
0005515356;KERMENE - TRELIVAN;2019;93991;
0006301141;PORNIC AGGLO PAYS DE RETZ;2019;1624;
0005101048;Société LAITIERE DE CLERMONT;2019;;313554
0022200020;RHUMS MARTINIQUAIS SAINT JAMES;2019;;11400
0006400942;KEM ONE France;2019;309106;1717856
0006702299;TRANSPORTS KLEIN;2019;65702;
0007206918;BURG VINAIGRES (ex-FUCHS);2019;4813;0
0007001228;REFRESCO LEQUESNOY (exEMIG PRODUCTION);2019;;59837
0018300685;AMETYST;2019;45752;
0005100728;MAGNETTO WHEELS;2019;37494;
0005202289;LHOIST FRANCE OUEST;2019;;0
0006803840;SAS Robert BOSCH;2019;2491;
0006110142;KEOLIS LYON (ALSACE);2019;2590;
0006506419;SITREM;2019;56270;
0006503421;GUERLAIN;2019;3825;0
0010000243;SAPA PROFILES NORD/OUEST SAS;2019;3760;
0010700373;ANETT;2019;16864;
0006105089;MODERTECH INDUSTRIES;2019;3141;
0009069902;EDF - CNPE de Civaux;2019;;67049332
0006700103;BALLASTIERES WERNY;2019;0;0
0006000366;VALADE;2019;82636;
0006102760;AGRANA FRUIT FRANCE;2019;73058;83158
0006605955;GIP DES BLANCHISSEURS CEVENOLS;2019;9249;
0010000682;GILOXAL;2019;163700;
0006700455;TANNERIES HAAS;2019;24246;
0005600333;MANUF FRANC PNEUMATIQ MICHELIN;2019;;8891
0054400117;GALLIANCE LE BIGNON;2019;;60075
0051401427;ELIVIA VILLERS BOCAGE;2019;245000;
0005304634;TIPIAK;2019;1760;
0005207519;BIOENERGIE DU SUD OUEST;2019;49100;
0010008595;CENTRE HOSPITALIER BLOIS;2019;11481;
0006702252;TANK SERVICES;2019;6790;
0006400686;SEM;2019;0;
0006201556;SOCIETE MECANIQUE AUTOMOBILE DE L EST (SMAE);2019;36453;128182
0006201748;URSA France SAS;2019;1203;
0010400392;SITOM NORD-ISERE (NOUVELLE UNITE);2019;0;0
0006300958;GKN DRIVELINE SA;2019;2335;
0006103589;MAT;2019;;193475
0005901039;SOCIETE NOUVELLE REVETIS;2019;;11870
0006100944;CEMEX Granulats Rhône Méditerranée;2019;;0
0053100317;ABATTOIR LES FERMIERS OCCITANS REVEL;2019;10425;
0006103495;BOURG INDUSTRIE (EX AUFIGEST);2019;3576;3352
0006804179;NUTRITION & SANTE;2019;84502;
0009075601;STEP - Kérolay;2019;;4943895
0007000854;BALL PACKAGING EUROPE BIERNE SAS;2019;99741;
0006104344;ARC FUSED ALUMINA;2019;;1943755
0005102036;LAINIERE DE PICARDIE BC SAS;2019;;96730
0006103170;SDMS;2019;;225
0005800367;EURIAL ULTRA FRAIS;2019;;143538
0006400337;KERRY FLAVOURS FRANCE SAS;2019;35454;
0007404300;SYCTOM;2019;69273;79546016
0005701156;MARCEL France MECANO GALVA SA;2019;;26103
0005202193;SAS LES JUS DU SOLEIL;2019;48146;
0006401202;PROVENCALE SA;2019;;0
0006802901;COCA-COLA EUROPACIFIC PARTNERS FRANCE;2019;36667;
0007000720;Ferroglobe Manganèse France SAS;2019;;161767
0009076301;STEU - CLERMONT-FERRAND;2019;;17844410
0005901053;CONFLANDEY INDUSTRIES SAS;2019;;60896
0006000451;MAZAL;2019;500;
0010400051;HEXCEL REINFORCEMENTS;2019;1205;0
0053501396;HTL (ne plus utiliser voir 535-1395);2019;104370;
0022200064;SNYL (Sté Nouvelle des Yaourts Littée);2019;;48611
0028100042;PONT SUR SAMBRE POWER SAS;2019;;290978
0006700516;BRASSERIE LICORNE;2019;265281;
0057400291;FROMAGERIE DES HAUTS DE SAVOIE;2019;;210654
0005504321;LAFARGEHOLCIM Granulats;2019;0;
0007002278;BARILLA FRANCE SAS;2019;4051;0
0006102416;PMG Ardèche;2019;725;
0006400371;BIOLANDES;2019;;7285
0006501113;REP (Décharge de Fouju-Moisenay);2019;;0
0005201748;SÉBASTIEN LABARRIERE;2019;;164328
0006802267;PIERRE FABRE MEDICAMENT;2019;22175;
0010004761;DIATECHNOLOGIES;2019;8167;
0005801681;VERESCENCE;2019;;155418
0009074401;STEP - Livery;2019;;4777905
0006102911;CATERPILLAR FRANCE S.A.;2019;5936;
0005500382;CENTRE HOSPITALIER Yves le Foll;2019;93831;
0009078701;STEP - LIMOGES;2019;16815524;
0006103933;HIT TS;2019;14794;
0054901090;ELIVIA SAS;2019;;215321
0006807508;Société Sablières Malet;2019;0;0
0010000743;SMLF;2019;11898;
0006401644;ALFI (Air Liquide Farance Industrie);2019;2718;
0057100136;LDC BOURGOGNE;2019;227931;
0007205729;IMERYS REFRACTORY MINERALS CLERAC;2019;;55158
0005502023;SILGOM;2019;22262;
0006207853;GAZEL ENERGIE GENERATION;2019;;3114957
0057101443;PALMID'OR BOURGOGNE;2019;;90365
0010600538;HCL HOPITAL LYON SUD;2019;127058;
0006109920;BRIOCHE PASQUIER ETOILE;2019;18131;
0005210984;XL METHALANDES;2019;14888;0
0005701622;MUMM -CH MARS;2019;8882;
0005104648;CHEMOURS FRANCE;2019;8988;
0005102374;BONDUELLE EUROPE LONG LIFE;2019;;4026186
0005800577;LEGRAND FRANCE;2019;2426;1205
0010001722;Carrosserie TROUILLET;2019;37;
0007402282;SAFRAN TRANSMISSION SYSTEMS;2019;3720;0
0016400310;LA COMPAGNIE DU BISCUIT;2019;1086;
0006301021;Fromageries BEL Production France;2019;;94712
0007211285;IMERYS REFRACTORY MINERALS CLERAC;2019;;63510
0007205956;IMERYS REFRACTORY MINERALS CLERAC;2019;;383443
0007000551;TANK SERVICE;2019;30000;
0005601734;BRUEGGEN FRANCE SNC;2019;6610;
0007002299;SOUP'IDEALE;2019;32247;
0007002729;BARDUSCH - TBN FontaineND;2019;62030;
0007204402;LABORATOIRES RIVADIS SAS;2019;6826;
0006503431;AUCHAN SAMADOC;2019;5941;
0006506033;TAKASAGO E.P.L.;2019;1749;
0005801058;PRYSMIAN CABLES ET SYSTEMES FRANCE;2019;724407;724407
0007001139;C&D FOODS France;2019;81034;
0007000794;VERSALIS FRANCE SAS Dunes;2019;;1248588
0006700674;STAL;2019;;40361
0010004916;ANETT DEUX;2019;79730;
0005900269;TRECIA (FAURECIA Systèmes d'Intérieur);2019;6549;0
0006600563;FERROPEM;2019;0;127
0005402210;SUEZ RR IWS MINERALS FRANCE (ISDD);2019;0;8221
0006202551;BONGRAIN GERARD;2019;;378358
0009069936;Centre CEA Paris-Saclay - Site de Saclay;2019;;202521
0022200016;EDF SEI - PK;2019;;722
0005515287;ENTREMONT ALLIANCE;2019;4424;
0006101808;GRANULATS VICAT;2019;;0
0006400421;SEYFERT PACKAGING;2019;5146;
0010001209;BODYCOTE;2019;15;
0005500920;ALGAIA;2019;;715560
0005900530;PREVAL HD UIOM;2019;2010;
0010000577;INTERNATIONAL COOKWARE;2019;19624;87375
0007000727;RENAULT DOUAI SNC;2019;;878610
0009069905;EDF - CNPE de Penly;2019;;2498137340
0054000813;SOLEVAL FRANCE;2019;;23250
0010100142;GRANULATS VICATS;2019;;0
0005102490;SITPA  Rosieres;2019;;477873
0010500053;A2T;2019;445;
0007403769;SEMMARIS;2019;369924;
0005101321;FAURECIA INTERIEUR INDUSTRIE;2019;10000;1000
0006600043;Entreprise POSOCCO;2019;0;
0007000656;TEREOS Sucrerie de Boiry;2019;;0
0009073304;STEP - Louis Fargue (Bordeaux);2019;;45610184
0005800398;CRISTAL UNION;2019;;640636
0056901142;L'EUROPEENNE D'EMBOUTEILLAGE;2019;183789;
0006804068;SOCIETE DES EAUX MINERALES DE LUCHON SAS;2019;30147;
0006301913;NTN Transmissions Europe;2019;7425;
0007000962;IMERYS (ex Kerneos);2019;;56210
0007000490;RDM BLENDECQUES SAS;2019;;1419325
0005100466;INTERSNACK FRANCE ex-VICO SA;2019;;400017
0006201981;LORRAINE FERS ET METAUX;2019;0;0
0005302582;SOFEDIT SAS;2019;;18832
0006400155;UNION GRAP'SUD;2019;49583;
0005401208;PRYSMIAN;2019;5862;70449
0006301295;CONSTELLIUM MONTREUIL JUIGNE SAS;2019;;3526
0009069941;EDF - CNPE de GOLFECH;2019;;163104096
0005101032;PASTACORP (ex RCL - RIVOIRE);2019;;12325
