identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0006103782;TEINTURERIES DE TARARE;2019;191010;
0007001174;GRAIN D'OR GEL - GRAIN D'OR FRAIS;2019;6617;
0006306310;BISCOTTE PASQUIER;2019;2439;
0006402671;GCSPA;2019;16041;
0007000684;GRISS (EMERSON);2019;0;227
0006702202;TFL France SAS;2019;14552;319956
0007100113;Sucriere de la Reunion;2019;57639;715089
0006302629;HOPITAL SAINT-JACQUES;2019;23812;0
0006302514;COM COM BAUGEOIS VALLEE  ex :SMICTOM;2019;;6208
0006201313;ASCOMETAL HAGONDANGE SAS;2019;;733831
0007002140;RECYCLAGE DES VALLEES;2019;37340;1800
0007202994;IPC - Industrie Papetières Charentaise;2019;0;
0005704369;ETABLISSEMENTS BLANDIN SA;2019;;100482
0006600410;SYNGENTA PRODUCTION FRANCE S.A.S;2019;0;271716
0007402253;SGD SA;2019;69570;
0005501389;A&P LITHOS;2019;8447;2301
0005502994;SOGETRAP;2019;;300000
0006104519;GALDERMA LABORATOIRES SAS;2019;40945;
0009073303;STEP - Biganos;2019;;5159501
0050100817;EUROPEENNE GASTRONOMIQUE DE CHARCUTERIE;2019;5784;
0006201291;FONDERIE LORRAINE;2019;11200;0
0006109146;OCV CHAMBERY FRANCE;2019;419311;
0006900026;CNES CSG - BEAP;2019;;1128000
0006300906;LAITERIE DU VAL D'ANCENIS;2019;1251585;
0005401254;APERAM ALLOYS IMPHY;2019;;641254
0006102350;LAFARGE CIMENTS;2019;0;0
0006300964;GENDREAU;2019;82717;
0051401146;SAS FRIAL;2019;96753;
0006102957;COMPAGNIE DE CHAUFFAGE CCIAG;2019;29356;
0005801305;FERRERO FRANCE;2019;31533;
0005200010;POLYREY S.A.S. (usine);2019;;453613
0006700480;WAGRAM TERMINAL SAS;2019;;9161
0006201795;ALTUGLAS INTERNATIONAL;2019;393;
0006101466;CARRIERES DE SAINT LAURENT;2019;100;
0006003459;LA BOITE A PAPIERS (ZIN 3);2019;247;
0005100299;CBP;2019;;53946
0006400913;IMERYS PCC France  (ex Solvay SF ex-CCP);2019;;1274113
0005901215;VETOQUINOL SA;2019;;25566
0006602094;International Flavors & Fragrances  SAS;2019;;618
0005303020;Com Agglo du Cotentin;2019;4150796;0
0005600197;TANNERIES DU PUY SAS;2019;191197;
0005100382;BARAT TRANSPORTS;2019;;542
0007000930;TEINTURERIE DE LA JUSTICE;2019;22440;
0006103493;VERALLIA FRANCE (ST GOBAIN EMBALLAGE);2019;15079;0
0053100020;SOLEVAL FRANCE;2019;8314;
0006104426;FERROPEM GROUPE FERROATLANTICA;2019;;1325260
0007000488;CNH INDUSTRIAL FRANCE;2019;7030;3123
0005600390;PAPETERIES DE GIROUX  SA;2019;0;261435
0005701569;SUEZ RR IWS CHEMICALS FRANCE;2019;390;
0010500024;SUEZ RV Borde Matin ISDND et ISDI;2019;;178772
0007000851;LAMINES MARCHANDS EUROPEENS (LME);2019;198138;
0006300919;HUTCHINSON SNC;2019;;870
0006702080;CAPSUGEL;2019;85571;
0054200493;BROCELIANDE-AHL;2019;6729;
0055601962;ENTREMONT SODIAAL SAS;2019;798333;
0050100333;MONTERRAT S.A;2019;160708;
0005401698;INTERNATIONAL PAPER EMBALLAGE LAURENT;2019;5970;0
0055300181;SOCIETE NOUVELLE DE VOLAILLE - S.N.V.;2019;0;156385
0005900806;KOHLER SAS;2019;;14058
0006114778;CAPCA (ex SDEA 07);2019;;141062
0012100040;MBF ALUMINIUM;2019;102;
0005601475;WAVIN SAS;2019;;725403
0007002497;NEXANS France - atelier Tréfilerie;2019;;20450
0006802944;ARIANEGROUP (ex HERAKLES);2019;;1244110
0005104757;CHU AMIENS PICARDIE;2019;322276;
0005702197;SAVIEL France;2019;20641;
0005515962;Communauté Communes du Pays Fouesnantais;2019;70175;
0006700513;BUTACHIMIE;2019;;37162712
0005501557;KNAUF INDUSTRIES OUEST;2019;;8530
0006107527;VENCOREX FRANCE;2019;;50711344
0006104024;ESSEX (IVA ESSEX);2019;4764;
0005102505;SAINT LOUIS SUCRE SNC;2019;;1
0052700280;SOCOPA VIANDES;2019;;80400
0009077804;STEP - SEINE GRESILLONS;2019;;86096832
0010004681;LISI AUTOMOTIVE NOMEL SAS;2019;350;100914
0006103219;ECL;2019;;8374
0016400376;MEWA SARL;2019;101845;
0010000175;ELECTROFORGE INDUSTRIES SAS;2019;450;
0005403171;SMET NORD EST 71;2019;3678;
0005102362;AJINOMOTO FOODS EUROPE;2019;751796;3119865
0052904385;CONSERVERIE CHANCERELLE (usine Thon);2019;67151;
0005805710;COLLET SAS;2019;;53223
0005500400;SAINT-BRIEUC FONDERIE;2019;;942963
0005500104;COOPERATIVE LE GOUESSANT (ZI);2019;22326;5907
0006505317;SYSTRONIC;2019;10455;
0009070301;Station de traitement des eaux usées de Montluçon Communauté;2019;6658130;
0006302424;ELIS ANJOU (SAS LES LAVANDIERES);2019;78791;
0005501318;CGPA PENY;2019;;0
0025100025;COMAP PLASTIC INDUSTRIES;2019;;385008
0005200081;MUNKSJÖ ROTTERSAC SAS;2019;;3482857
0006700720;SIL FALA;2019;1570272;0
0006301373;CHARIER CM - CARRIERES ET MATERIAUX;2019;;256112
0053800107;BRIOCHE PASQUIER;2019;12780;
0005104890;FM LOGISTIC;2019;6874;
0006301584;FIBERTEX NONWOVENS;2019;9789;
0006501747;UNIVAR;2019;4123;
0006201080;EURIAL ULTRA FRAIS;2019;2664;234345
0006103294;TECHNIQUES SURFACES ANDREZIEUX;2019;;26900
0006802544;BASF HEALTH AND CARE PRODUCTS FRANCE;2019;;434581
0006700093;EQIOM;2019;;373975
0007003529;IKOS ENVIRONNEMENT SAS;2019;;2861
0005600328;MFP MICHELIN - Site de Cataroux;2019;151282;28918
0005300052;CIMENTS CALCIA;2019;;218572
0006409429;FRULACT FRANCE;2019;31852;0
0007004370;PMC OUVRIE;2019;1168;
0006300909;LNUF Lactalis Nestlé Ultra-Frais Laval;2019;142671;
0005900388;COEURDOR Groupe Surfaces Synergies;2019;4344;
0007300006;DPLC;2019;140;14732
0006102256;SYNDICAT MIXTE DE LA PLAINE DE L'AIN;2019;;378106
0005702865;OLFA;2019;10;74320
0006601579;MAIRIE de NIMES (Les Lauzières);2019;13860;
0005102603;PATISSERIE PASQUIER VRON;2019;;16190
0007000821;NYRSTAR FRANCE;2019;;778924
0005906291;SILOR (ex SILVANT - ex CBD);2019;1960;0
0007002795;TUBOSCOPE VETCO FRANCE;2019;;412
0005303622;YSCO FRANCE;2019;;119123
0007004362;GALLOO littoral Dunkerque;2019;;5150
0006400336;LYONNAISE DES EAUX  - Usine de l'Apié;2019;480;97781
0006103973;TOTAL RAFFINAGE France;2019;;2559857
0006202256;OI France SAS;2019;3574;101894
0007201985;SUEZ RR IWS chemical France (ex SITA REKEM);2019;;3360
0006302487;BRIOCHE PASQUIER CERQUEUX;2019;;10096
0006103988;TDS 73;2019;58910;
0006405120;OBIOSEED;2019;206;
0006506682;ECOPUR;2019;30066;0
0005202274;RAYNAL ET ROQUELAURE;2019;;34250
0006803974;SMDT 65;2019;;15155
0006501167;BOREALIS CHIMIE;2019;;459585
0010001496;ROCAL;2019;;23151
0005800416;POCHET DU COURVAL;2019;;1013572
0010000973;CHRYSO SAS;2019;4830;
0010007721;BLANCHISSERIE BLESOISE;2019;67278;
0006705769;WAGRAM TERMINAL SAS;2019;;25328
0006103181;RUBIS TERMINAL;2019;1943;16100
0006600812;O-I FRANCE SAS;2019;;56016
0006400992;CLEAN 13;2019;3025;
0005600268;PEM;2019;;84482
0006400915;SOTRECO SAS;2019;848;0
0006803676;REGIE DES ABATTOIRS;2019;25638;
0006207526;FROMAGERIE HENRI HUTIN;2019;;429523
0007001762;FRANCE MANCHE S.A.(Entretien navettes);2019;;335033
0009073802;STEP - GRENOBLE / AQUAPOLE;2019;;83531840
0007002145;Remy LENFANT Teinturerie;2019;22021;
0010000536;EUROSTYLE systems Châteauroux;2019;338;
0007100593;EDF-SEI;2019;;33
0005503174;IMERYS CERAMICS FRANCE;2019;;0
0053501362;SAVIEL FRANCE;2019;13258;
0010008480;GIP Centre de Traitement Textile 28;2019;15662;
0005300884;DANONE PRODUITS FRAIS FRANCE;2019;;264144
0007002893;DELPHARM LILLE SAS;2019;45000;
0053800603;CANDIA/YOPLAIT;2019;;1003312
0025200084;TERREAL;2019;;1
0006200791;SCORI EST;2019;0;8305
0005100009;SUEZ RV NORD EST;2019;;795
0006303239;DUPLIPRINT MAYENNE (ex: JOUVE);2019;4299;
0024700115;SMEVOM du Charolais-Brionnais et de l'Au;2019;6440;
0006302827;TRIVALIS;2019;;6568
0006103259;SDSP;2019;;12749
0005900950;ELECTROLYSE ABBAYE ACEY;2019;;26460
0057400432;LE FROMAGER DE LA FRUITIERE DU VAL DE Fi;2019;;35835
0006301614;ARRIVE;2019;;48106
0005503297;SOCIETE SARZEAU CARRIERES ET MATERIAUX;2019;;117100
0007000646;BONDUELLE EUROPE LONG LIFE (BELL) ex BCI;2019;;1310472
0006201497;ArcelorMittal France - Crassier de Marspich;2019;;201452
0006102819;G.T.A.;2019;161884;
0006505584;PLACOPLATRE SA;2019;8419;0
0006400928;APPRYL;2019;0;138197
0055602332;LES ATELIERS DU GOUT;2019;1488;67259
0005503567;MIX BUFFET;2019;;242070
0007002922;GUIOT SA;2019;17029;
0006002154;ORANO Mining;2019;;511544
0005200560;TECHNICENTRE NOUVELLE AQUITAINE;2019;;65240
0054200987;TRADIVAL;2019;17099;
0016400363;SICTOM Nord Allier;2019;23554;
0010100164;FERMOB;2019;407;
0005804127;BIO COGELYO NORMANDIE;2019;;26606
0005900126;FRALSEN;2019;736;
0007001960;MALTERIES FRANCO-BELGES (St Saulve);2019;;159443
0006202271;MICHELIN;2019;;228252
0005513171;PATISSERIES  GOURMANDES;2019;3884;
0005201064;MONNAIE de PARIS;2019;4037;
0054200983;TRADIVAL;2019;11875;0
0053501402;SVELTIC;2019;;97548
0006505957;MECACHIMIQUE;2019;1272;
0005600174;MFP MICHELIN;2019;12437;
0006400776;SATYS SURFACE TREATMENT MARSEILLE;2019;2623;
0006102269;SPEICHIM PROCESSING S.A.;2019;5364;
0005301388;CARRIERE BAUDOUIN;2019;;9731
0007003919;PANAVI;2019;36636;
0010000679;GAULT ET FREMONT;2019;413;
0005800585;KIMBERLY CLARK SNC;2019;2103;272018
0005302025;MLC;2019;;115111
0006104657;Suez Organique Compostière de Savoie;2019;10737;
0005401115;Corden Pharma (ex. SYNKEM);2019;18071;
0055601331;CITE MARINE;2019;166681;
0006504451;TROLYT;2019;406;
0006103771;FERINOX;2019;631;631
0010002254;CRISTAL UNION;2019;;0
0005201939;BIOLANDES TECHNOLOGIES SAS;2019;;34469
0006003309;ISDND SMURFIT CRAMAUD 2 et 2 bis;2019;;19780
0005600120;ROBERT BOSCH FRANCE SAS;2019;616;
0005600267;PEM;2019;;66540
0006700608;MARS WRIGLEY CONFECTIONERY FRANCE;2019;23427;
0025300101;MAISON JEAN LORON;2019;19688;
0005201764;CHEMVIRON;2019;;415333
0005205111;SETHELEC SNC;2019;;1877
0010001674;SANOFI WINTHROP INDUSTRIE;2019;33369;
0005900792;SYDOM;2019;7343;66426
0005601338;GERENTES SAS;2019;0;140087
0007201362;AHLSTROM MUNKSJO SPECIALTIES;2019;;945919
0050100790;COMPAGNIE DES FROMAGES ET RICHES MONTS;2019;45656;
0005804749;Metropole Rouen Normandie;2019;;4027782
0006103192;AIR LIQUIDE ADVANCED TECHNOLOGIES;2019;5;86758
0010001779;DELPHI  FRANCE;2019;1133;
0007003091;CVO Centre de valorisation organique;2019;2698;
0006501916;VILLARD SARL;2019;1047;
0005202270;BRUYERES et Fils;2019;4;2460
0005701289;GHM - SOMMEVOIRE;2019;497;0
0005101887;METEX NOOVISTAGO (ex AJINOMOTO);2019;;3991040
0006504341;RENAULT;2019;55870;16289
0005701330;3P - Produits Plastiques Performants;2019;;113928
0006503345;LINXENS FRANCE;2019;47217;
0006700373;SETE;2019;550;
0006400323;PAYAN BERTRAND S.A;2019;6156;
0057400015;ENTREMONT SAS;2019;51038;
0005800363;SEREP;2019;86362;
0006513048;VEOLIA EAU;2019;;13635228
0007001050;CENTRE HOSPITALIER DE VALENCIENNES;2019;224837;
0009000285;Site de BALARD;2019;;1091355
0018100049;SABLEX;2019;10;10
0006401124;SEMAG;2019;6246;
0005702795;MHCS Moët Hennessy Champagne et Services;2019;28900;
0005105906;HARRY'S RESTAURATION;2019;4172;0
0050100715;RONSARD  BRESSE;2019;;23825
0006303999;CHARIER CM - CARRIERES ET MATERIAUX;2019;;230470
0006400791;AP-HM (Hôpital Nord);2019;86683;
0050700008;NUTRITION ET SANTE;2019;4034;
0009073701;Station d'épuration de La Grange David;2019;;16258140
0016400142;UNITHER INDUSTRIES Gannat;2019;17023;
0005401338;RHODIA OPERATIONS (groupe solvay);2019;;3577713
0006104896;LABORATOIRE MERIEL;2019;300;
0005202397;RBS France SAS;2019;;5826
0007000666;ARDO-VIOLAINES SAS;2019;;221337
0007000750;RECYTECH;2019;0;0
0005302137;HME BRASS FRANCE SAS;2019;910;55900
0006301574;BUCHER VASLIN;2019;750;
0007000982;IMPRIMERIE NATIONALE;2019;6814;
0006104078;KEOLIS LYON;2019;6290;0
0007000953;Société Nouvelle WM;2019;20244;0
0007201269;INVER FRANCE SAS;2019;2989;
0005401185;SAICA PACK;2019;3206;0
0006103663;SANOFI PASTEUR NVL;2019;22605;
0005101339;UNILEVER FRANCE HPC Industries;2019;;71294
0007006108;MENISSEZ PREMIUM (ex Groupe MENISSEZ);2019;;77359
0005201623;NANKAI PLYWOOD ROLPIN (NP ROLPIN);2019;;79267
0006300490;CARRIERE DE VAIGES;2019;;620711
0007002257;SIRENES BOULONNAISES (SARL Les);2019;2537;
0057201569;ESPRI Restauration;2019;;85336
0007004361;OCTEVA  SAS Centre de valorisation Organique;2019;16023;
0007405746;LRB ROULIER;2019;1540;
0006104116;TOTAL FRANCE;2019;;27
0009070602;STEP - CAGNES-SUR-MER AERIS;2019;;6023080
0005701521;SMURFIT KAPPA FRANCE;2019;4069;
0006103643;BioMerieux SA;2019;54151;
0006700297;GRAVIERE DE NIEDERHERGHEIM;2019;;182547
0006503170;ITON SEINE;2019;;180604
0005701887;Mannesmann Précision Tubes France;2019;56720;
0005503619;ELIS LOCALINGE;2019;53922;
0056900076;AUCHAN HYPERMARCHE;2019;5989;
0005702086;ASSA ABLOY SAS;2019;0;
0006500345;BEISSIER;2019;1052;
0006501584;THIMEAU MAGIC RAMBO-ELIS;2019;112802;
0005502390;SOKA (STE KAOLINIERE ARMORICAINE);2019;;5200
0005901221;SODECAL;2019;255;753
0006802502;AGC Multi Material Europe SA;2019;;83026
0005601309;SICABA;2019;15075;
0009069906;EDF - Site de Brennilis;2019;;535423
0006303376;REINAL SARL;2019;;14093
0006300757;SEDEP SAS;2019;;649165
0006802424;SOCIETE TRAITEMENTS CHIMIQUES DES METAUX;2019;7054;
0007206006;SNCF MOBILITES;2019;222;0
0052904512;FARMOR Etablissement de Quimper;2019;167253;
0009069912;EDF - CNPE de Gravelines;2019;;6214272500
0005801303;COTAC FRANCE SARL;2019;27993;
0005901195;CF2P SAS (ex IKEA INDUSTRY FRANCE);2019;30;
0006000416;NCI ENVIRONNEMENT BRIVE;2019;4534;20538
0007001072;PEP (ex KAREA);2019;6230;
0006601702;CARTE NOIRE OPERATION SAS;2019;6242;250
0005202016;Usine DRT Vielle-Saint-Girons;2019;911069;
0005103728;SOCOPIC-Sté Cogénér.Picardie (ex.Dalkia);2019;0;
0005516626;SNCD (Sté Nouvelle de Collecte de Déchet;2019;;4388
0006700696;GUNTHER TOOLS;2019;2146;
0006702583;ELECTRICTE de STRASBOURG;2019;;2784
0006506672;EUROSTAR ENGINEER (ex SABIC,exGEP,exLNP);2019;2052;
0006501602;BASF (ex COGNIS FRANCE SIDOBRE SINNOVA);2019;;306050
0006102392;BOSTIK SA;2019;9273;
0005302394;TB INDUSTRIE;2019;0;1719
0005902225;DIEHL AUGE DECOUPAGE (Bd Kennedy) SAS;2019;1485;
0005800115;LAFARGE GRANULATS - Site de Bernières/Seine;2019;0;0
