identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0012200040;DEPANNAGE 70;34841934200012;BP 47;70200;LURE;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE;2205127.000000;969191.000000;;4511Z;Commerce de voitures et de véhicules automobiles légers;;
0006402139;ELENGY (CAVAOU);45143878200034;Route des plages;13270;FOS-SUR-MER;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE-D'AZUR;853919.000000;6260348.000000;2154;3521Z;Production de combustibles gazeux;1.(b);Installations de gazéification et de liquéfaction
0005203662;GSM - Illats;57216565201419;Le Hiou;33720;ILLATS;GIRONDE;NOUVELLE-AQUITAINE;1963065.060000;384100.690000;;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0010006728;TRB SAS (BERT);40021903600029;Parc d'Activités Equatop, Boulevard Alfred Nobel;37540;SAINT-CYR-SUR-LOIRE;INDRE-ET-LOIRE;CENTRE;524115.000000;6706114.000000;2154;4941A;Transports routiers de fret interurbains;;
0005302582;SOFEDIT SAS;44378278400088;RUE DE LA PECHERIE, LE THEIL SUR HUISNE;61260;LE THEIL;ORNE;NORMANDIE;528044.000000;6797575.000000;2154;2550B;Découpage, emboutissage;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006210081;SICOVAD;25880142200043;"lieu dit ''malgré moi""";88000;EPINAL;VOSGES;GRAND-EST;905464;2360624;27572;3811Z;Collecte des déchets non dangereux;;
0006000362;DESHORS ADI;47802658600030;ZAC du Mazaud  La Chassagne - BP 550;19107;BRIVE-LA-GAILLARDE;CORREZE;NOUVELLE-AQUITAINE;537477;2018734;27572;2562B;Mécanique industrielle;2.(e).(i);destinées à la production de métaux bruts non ferreux à partir de minerais, de concentrés ou de matières premières secondaires par procédés métallurgiques, chimiques ou électrolytiques
0005500852;CARRIERES LAGADEC;63582029300085;PONT PINVIDIC;29400;LAMPAUL-GUIMILIAU;FINISTERE;BRETAGNE;180912.000000;6844188.000000;;4312A;Travaux de terrassement courants et travaux préparatoires;;
0009077301;UDEP - Chambéry;24730009800099;300 rue de Chantabord Zi Bissy;73000;CHAMBERY;SAVOIE;AUVERGNE-RHONE-ALPES;5.899579;45.588196;;3700Z;Collecte et traitement des eaux usées;5.(f);Installations de traitement des eaux urbaines résiduaires d'une capacité de 100 000 équivalents habitants
0005503705;LANNION TREGOR Communauté ex BegArChra;25220232000013;Déchetterie à Le Cosquer;22810;PLOUNEVEZ-MOEDEC;COTES-D'ARMOR;BRETAGNE;222881.000000;6846880.000000;;3811Z;Collecte des déchets non dangereux;;
0052201129;GAEC THOMAS;37755555200019;KERICQUEL;22290;GOUDELIN;COTES-D'ARMOR;BRETAGNE;258594.000000;6850895.000000;4326;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005104892;BARCENA SARL  (garage);41511258000014;chemin de Salouel;80480;PONT-DE-METZ;SOMME;HAUTS-DE-FRANCE;645759.000000;6975345.000000;4326;4520A;Entretien et réparation de véhicules automobiles légers;;
0050100832;BRESSOR SA;38322876400015;site de Servas, BP 26;01960;SERVAS;AIN;AUVERGNE-RHONE-ALPES;867311.000000;6561885.000000;;1051C;Fabrication de fromage;8.(b).(i);matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
0040000207;EVOLLYS;35406854600036;4 rue Jean-Pierre  Vassor;97427;L'Étang-Salé;REUNION;REUNION;330500.000000;7649400.000000;;1012Z;Transformation et conservation de la viande de volaille;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0005105844;LANGUEDOC Christophe;49902715900015;Lieu dit Le Bois des Saules, parcelles ZC n° 49 et 70 a, b, c et d;60175;VILLENEUVE-LES-SABLONS;OISE;HAUTS-DE-FRANCE;633535.000000;6904557.000000;;6820B;Location de terrains et d'autres biens immobiliers;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0058500277;SECANIM CENTRE SAS;40326416100049;Route de Niort;85490;BENET;VENDEE;PAYS-DE-LA-LOIRE;422583.000000;6593363.000000;27572;3832Z;Récupération de déchets triés;;
0009069931;EDF - CNPE de Belleville-sur-Loire;55208131734108;BP 11;18240;LERE;CHER;CENTRE;2.876031;47.508287;27572;3511Z;Production d'électricité;;
0006809236;DISTRIFER SARL;49779530200023;ZI de Lamothe;32000;AUCH;GERS;OCCITANIE;506855.000000;6291383.000000;2154;4672Z;Commerce de gros (commerce interentreprises) de minerais et métaux;;
0052203196;SCEA FAIRIER;40494721000013;LE BREUIL;22980;PLELAN-LE-PETIT;COTES-D'ARMOR;BRETAGNE;312903.000000;6828897.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0010001882;MEMPONTEL;39106609900014;Les Aizines;18800;BAUGY;CHER;CENTRE;680967.000000;6664192.000000;2154;3832Z;Récupération de déchets triés;;
0006301403;TETRA PAK CLOSURES France;55214412300213;Rue de Tugny;44110;CHATEAUBRIANT;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;371641.000000;6742862.000000;2154;2222Z;Fabrication d'emballages en matières plastiques;;
0052902742;EARL DE LESCOAT;81855770400017;LIEU DIT LESCOAT;29830;PLOUGUIN;FINISTERE;BRETAGNE;143046.000000;6851324.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0006803838;SMEG;34077294600018;bd du Grand Castaing, Lieu-dit borde blanche;31120;ROQUES;HAUTE-GARONNE;OCCITANIE;565214.000000;6267180.000000;2154;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;;
0006512175;DEM'S  AUTOS;34127333200054;11 rue du Roussillon;91220;BRETIGNY-SUR-ORGE;ESSONNE;ILE-DE-FRANCE;648763.000000;6832779.000000;2154;4511Z;Commerce de voitures et de véhicules automobiles légers;;
0052904265;EARL DU MENVEN;44876374800010;KERHOM;29450;LE TREHOU;FINISTERE;BRETAGNE;174092.000000;6835039.000000;2154;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;7.(a).(i);disposant de 40 000 emplacements pour la volaille
0010012653;PIGEON TP Centre Ile-de-France;38249564600053;Lieu-dit Le Margas et les Sablons;28400;NOGENT-LE-ROTROU;EURE-ET-LOIR;CENTRE;536968.000000;6802564.000000;2154;4312B;Travaux de terrassement spécialisés ou de grande masse;;
0010600148;ONYX AUVERGNE RHONE-ALPES;30259089800268;5 à 9 rue des Frères Lumière;69680;CHASSIEU;RHONE;AUVERGNE-RHONE-ALPES;852605.000000;6516416.000000;2154;3811Z;Collecte des déchets non dangereux;;
0006308550;AFM Recyclage;38348263500232;ZI du Fléchet;49240;AVRILLE;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;428096.000000;6719326.000000;4326;3831Z;Démantèlement d'épaves;;
0007004057;CARPENTIER Philippe;32431314700021;Route de la Groise;59550;PRISCHES;NORD;HAUTS-DE-FRANCE;754887.000000;6997966.000000;2154;4941A;Transports routiers de fret interurbains;;
0010008581;PAPREC Grand Ouest;41870283300082;Zone Industrielle de St Cosme, 6, rue Jules Verne;37520;LA RICHE;INDRE-ET-LOIRE;CENTRE;519973.000000;6700038.000000;2154;3832Z;Récupération de déchets triés;;
0007005958;Déchèterie de Cuincy;20000720100037;ZI de la Brayelle, Rue du Champ de tir;59553;CUINCY;NORD;HAUTS-DE-FRANCE;702180.000000;7030571.000000;4326;3821Z;Traitement et élimination des déchets non dangereux;;
0007406420;RESTOR A9;49872283400013;167 AVENUE MAURICE BERTEAUX;94420;LE PLESSIS-TREVISE;VAL-DE-MARNE;ILE-DE-FRANCE;668590.000000;6856223.000000;2154;4339Z;Autres travaux de finition;;
0006514782;SITREVA;25280334100095;1 rue des Epis, ZI Bois de la Fontaine;91670;ANGERVILLE;ESSONNE;ILE-DE-FRANCE;626707.000000;6802112.000000;4326;3821Z;Traitement et élimination des déchets non dangereux;;
0006209883;ORTEC GENERALE DE DEPOLLUTION;41792268900019;Rue du port;57525;TALANGE;MOSELLE;GRAND-EST;929993.000000;6908648.000000;2154;3900Z;Dépollution et autres services de gestion des déchets;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0005301860;ETS NEW MAISONNEUVE KEG;84109598700027;59 rue de la gare;50510;CERENCES;MANCHE;NORMANDIE;323578;2441979;27572;2591Z;Fabrication de fûts et emballages métalliques similaires;;
0005302463;SNOP;51363480800028;Route de Gacé;61370;SAINTE-GAUBURGE-SAINTE-COLOMBE;ORNE;NORMANDIE;510617.000000;6849468.000000;2154;2932Z;Fabrication d'autres équipements automobiles;;
0057202101;EARL PIGS FARMER;41346479300012;LES CHOUANNIERES;72300;SOUVIGNE-SUR-SARTHE;SARTHE;PAYS-DE-LA-LOIRE;445595.000000;6750878.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0052902371;GAEC DE KERASCOT;34464057800011;Kérascot;29810;PLOUARZEL;FINISTERE;BRETAGNE;127428.000000;6841655.000000;2154;0146Z;Élevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0005704842;Mairie de Pocancy;21510402700010;Lieu-dit ''La Crayère'';51130;POCANCY;MARNE;GRAND-EST;783286.000000;6873226.000000;2154;8411Z;Administration publique générale;;
0010001607;SOCCOIM (CDT ST JEAN DE BRAYE);08688003600107;Rue du Trousset;45800;SAINT-JEAN-DE-BRAYE;LOIRET;CENTRE;621238.000000;6758392.000000;2154;3832Z;Récupération de déchets triés;;
0006600403;COMPAGNIE des SALINS DU MIDI;56209061300380;Route du Grau-du-Roi;30220;AIGUES-MORTES;GARD;OCCITANIE;795679.000000;6273629.000000;2154;0893Z;Production de sel;;
0005518409;GROUPE SODIAAL B;84283268500015;ZAC DE KERGORVO;29270;CARHAIX-PLOUGUER;FINISTERE;BRETAGNE;215084.000000;6817473.000000;2154;1051D;Fabrication d'autres produits laitiers;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
