identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006202170;NESTLE WATERS SUPPLY EST Contrexéville;2019;230141;;;
0010000451;CRISTAL UNION;2019;800833;;9083;
0005801384;CHU DE ROUEN (BLANCH. INTERHOSP.);2019;53917;;;
0006503249;SUEZ EAU FRANCE FRANCE;2019;15364693;;;
0006101161;CEMEX GRANULATS RHONE MEDITERRANNEE;2019;13298;;;
0006205449;SOCIETE DES FOURS A CHAUX DE SORCY;2019;161016;;;
0006101054;DECHANOZ;2019;27792;;;
0052902708;EARL FAGON;2019;9634;;;
0006702247;DAIICHI SANKYO ALTKIRCH SARL;2019;;;94856;
0005202016;Usine DRT Vielle-Saint-Girons;2019;1072526;;333794;
0057201663;LDC;2019;;;347193;
0058503758;SCEA LOG ELEVAGE;2019;7920;;;
0005701701;CIMENTS CALCIA;2019;305623;;;
0006400336;LYONNAISE DES EAUX  - Usine de l'Apié;2019;;1042161;;
0005600098;S C B V;2019;247125;105136;936;
0005900191;PROFIALIS;2019;22382;;23338;
0005702721;SAICA PAPER EL;2019;1941568;;3464;
0005901306;PSA AUTOMOBILES SA (Peugeot);2019;;47416;10128;
0006202068;MUNKSJÖ ARCHES;2019;2146061;679600;7626;
0054900781;ROIRIE (SCEA DE LA);2019;7665;;;
0006400876;Métropole Aix-Marseille Provence;2019;244009;;;
0010000968;DS SMITH PAPER COULLONS;2019;;91821;126402;
0052201329;SCEA DE LA VILLE POISSIN;2019;10136;;;
0052202466;SCEA ETIENNE LECLERC;2019;11000;;;
0005906068;CBN;2019;172138;;3912;
0005600419;ROCKWOOL FRANCE SAS;2019;;174098;111805;
0006802285;SAS GELATINES WEISHARDT;2019;394902;874836;;
0006804009;UNITHER LIQUID MANUFACTURING;2019;;;60794;
0006600562;OWENS-CORNING FIBERGLAS;2019;;378202;13725;
0009071302;STEP - Marseille;2019;;;66970;
0006503170;ITON SEINE;2019;;470928;3111;
0005701887;Mannesmann Précision Tubes France;2019;;;104528;
0006802150;ANDROS Snc - Site de Biars;2019;549558;;6326;
0005500440;IDEX ENVIRONNEMENT BRETAGNE( SARL);2019;71755;;9730;
0005800483;EUROFOIL FRANCE;2019;;88725;8923;
0052903220;SCEA DE LA VALLEE;2019;10530;;;
0052904001;EARL GOARNISSON;2019;9568;;;
0005301495;SOCIETE BEURRIERE D'ISIGNY;2019;;;119869;
0006107771;SFS INTEC;2019;14540;;1707;
0007000991;HERTA;2019;;;428894;
0005104757;CHU AMIENS PICARDIE;2019;;;368580;
0006400332;ROBERTET PLAN DE GRASSE;2019;;;68563;
0010002254;CRISTAL UNION;2019;39626;;12004;
0058500277;SECANIM CENTRE SAS;2019;;;82798;
0006400408;MARONCELLI;2019;108025;;;
0006301424;LACHETEAU ex VINIVAL;2019;23222;;1094;
0052904165;LE CORRE ROBERT (SCEA );2019;11000;;;
0006104748;THALES AVS FRANCE SAS;2019;721951;;7927;
0006400259;LAFARGEHOLCIM CIMENTS;2019;114860;;;
0007000855;BELL (BONDUELLE EUROPE LONG LIFE ex BCI);2019;370287;;860;
0005401483;DAUNAT BOURGOGNE;2019;;;66525;
0007000052;CARRIERES D'HOUDAIN SAS;2019;662586;;;
0006302096;VAL NANTAIS TERRENA;2019;219413;;;
0007002133;RLST Localinge;2019;73301;;1055;
0050100486;SALAISONS STEMMELEN;2019;;;72687;
0006302949;KALHYGE 4;2019;44780;;1897;
0005801049;VERRERIES BROSSE SAS;2019;19568;;5247;
0054900708;GUILLET SAS;2019;153024;;6747;
0052903637;SCO (MONIQUE RANOU);2019;18971;;205689;
0005900821;FROMAGERIES BEL PRODUCTION FRANCE (FBPF);2019;;;84153;
0006400942;KEM ONE France;2019;;1831931;0;
0005301827;CARGILL FRANCE SAS;2019;180427;0;509997;0
0006602108;EAUX MINERALES NATURELLES DE QUEZAC;2019;127492;;;
0006200826;Societe Industrielle OBER;2019;15871;;557;
0052600305;AVIDOR;2019;7217;;;
0055301033;SOCOPA VIANDES;2019;;;400630;
0052902057;SCEA PHILIPPE GALLOU;2019;17892;;;
0005202639;BEARN URBASER ENERGIE;2019;186291;;25126;
0005201691;GASCOGNE PAPIER;2019;;9350275;82815;
0007407038;SNCF JONCHEROLLES;2019;23420;;7273;
0009069903;EDF - CNPE de Flamanville;2019;;943388;95457;1791368320
0005401151;INDUSTEEL FRANCE;2019;;;248497;
0055100341;SCEA ELEVAGE DE LA SOUDE (SOUDRON);2019;19000;;;
0052901497;EARL FOZ NEVEZ;2019;11123;;;
0007002235;CIDEME;2019;21136;;1740;
0006202054;ArcelorMittal France - Packaging;2019;1015400;10360548;24761;
0006600227;SARL CARRIERES DE LA 113;2019;;49616;;
0005800574;LUBRIZOL ROUEN;2019;;;112792;
0007000750;RECYTECH;2019;70075;;9409;
0006807508;Société Sablières Malet;2019;59385;;;
0005803901;PATISSERIE PASQUIER SAINT VALERY;2019;;;58606;
0005401075;KRONOSPAN SAS;2019;;96435;;
0006115041;MAJ;2019;;;59640;
0006101980;FERROPEM;2019;2988180;;;
0006601279;Communauté Agglomération Bassin de Thau;2019;0;0;308358;0
0006202417;PAPETERIE RAON;2019;9588;825836;0;
0005800505;RUBIS TERMINAL HFR;2019;40578;;;
0006200868;LES SABLIERES DE LAIMONT;2019;;120000;;
0055601402;SCEA DES BRUYERES;2019;16200;;;
0006702036;FIBERWEB FRANCE SAS;2019;854343;;;
0005500471;SVA JEAN ROZE;2019;91400;;144623;
0006700386;SITDCE UIOM;2019;25643;;338;
0006104578;SOC CAUX TRAITEMENT DE SURFACE;2019;28932;;;
0006104439;CARBONE SAVOIE;2019;1319572;266601;31810;
0057200475;SOCOPA VIANDES;2019;;;336963;
0018300036;FLORETTE FRANCE FOOD SERVICE (ex-CRUDI);2019;174076;;;
0007003941;CVE;2019;;30022;12370;
0007000582;BRASSERIE DE SAINT-OMER;2019;608074;;2836;
0007001139;C&D FOODS France;2019;;;383459;
0006103493;VERALLIA FRANCE (ST GOBAIN EMBALLAGE);2019;55888;23867;7554;
0055602604;PEP CAMAGNON;2019;;;97277;
0006407785;LABORATOIRES M et L;2019;6116;;81646;
0006806172;Denjean Ariège Granulats;2019;90113;;;
0052902143;SCEA VIGOUROUX;2019;13200;;;
0006506520;BIO SPRINGER;2019;1759192;1556721;376020;
0006104534;GRAPHOCOLOR;2019;;;186252;
0006305026;ENGIE Thermique France;2019;;;84707;262656000
0006803269;Airbus Defence and Space;2019;0;0;70181;0
0005301497;ELECTROPOLI FRANCE;2019;42621;0;60873;
